alpha,beta,seed,variant,C,P,generalization_score,sample_recall_score
50.0,0.1,3,A,4,1600,0.8125,0.58203125
50.0,0.3,3,A,4,1600,0.91796875,0.77734375
50.0,0.5,3,A,4,1600,0.83203125,0.9453125
50.0,1.856610894203186,3,B,4,1600,0.7734375,0.5703125
50.0,0.1,4,A,4,1600,0.8203125,0.515625
50.0,0.3,4,A,4,1600,0.8828125,0.76171875
50.0,0.5,4,A,4,1600,0.76171875,0.953125
50.0,1.8502579927444458,4,B,4,1600,0.7734375,0.65234375
1.0,0.1,0,A,8,32,0.625,0.921875
1.0,0.3,0,A,8,32,0.6015625,1.0
1.0,0.5,0,A,8,32,0.5234375,1.0
1.0,1.8353114128112793,0,B,8,32,0.50390625,0.76953125
1.0,0.1,1,A,8,32,0.51171875,0.83984375
1.0,0.3,1,A,8,32,0.55859375,0.984375
1.0,0.5,1,A,8,32,0.49609375,0.984375
1.0,1.8191804885864258,1,B,8,32,0.68359375,0.7734375
1.0,0.1,2,A,8,32,0.546875,0.828125
1.0,0.3,2,A,8,32,0.60546875,1.0
1.0,0.5,2,A,8,32,0.5859375,1.0
1.0,1.8290386199951172,2,B,8,32,0.6484375,0.78125
1.0,0.1,3,A,8,32,0.50390625,0.90234375
1.0,0.3,3,A,8,32,0.61328125,1.0
1.0,0.5,3,A,8,32,0.59765625,1.0
1.0,1.8497101068496704,3,B,8,32,0.5546875,0.875
1.0,0.1,4,A,8,32,0.56640625,0.94140625
1.0,0.3,4,A,8,32,0.67578125,0.99609375
1.0,0.5,4,A,8,32,0.6171875,1.0
1.0,1.8655266761779785,4,B,8,32,0.6328125,0.78515625
5.0,0.1,0,A,8,160,0.65625,0.62109375
5.0,0.3,0,A,8,160,0.73828125,0.96484375
5.0,0.5,0,A,8,160,0.70703125,0.9921875
5.0,1.782800555229187,0,B,8,160,0.75390625,0.671875
5.0,0.1,1,A,8,160,0.66796875,0.62890625
5.0,0.3,1,A,8,160,0.79296875,0.99609375
5.0,0.5,1,A,8,160,0.70703125,1.0
5.0,1.7335102558135986,1,B,8,160,0.7265625,0.6328125
5.0,0.1,2,A,8,160,0.6015625,0.62890625
5.0,0.3,2,A,8,160,0.6796875,0.96484375
5.0,0.5,2,A,8,160,0.63671875,0.984375
5.0,1.773836374282837,2,B,8,160,0.734375,0.67578125
5.0,0.1,3,A,8,160,0.5703125,0.65625
5.0,0.3,3,A,8,160,0.67578125,0.9765625
5.0,0.5,3,A,8,160,0.609375,0.984375
5.0,1.7681033611297607,3,B,8,160,0.65625,0.6640625
5.0,0.1,4,A,8,160,0.609375,0.69140625
5.0,0.3,4,A,8,160,0.68359375,0.94921875
5.0,0.5,4,A,8,160,0.62109375,0.9765625
5.0,1.7373014688491821,4,B,8,160,0.73828125,0.671875
10.0,0.1,0,A,8,320,0.6484375,0.640625
10.0,0.3,0,A,8,320,0.80078125,0.8984375
10.0,0.5,0,A,8,320,0.73046875,0.92578125
10.0,1.745672345161438,0,B,8,320,0.68359375,0.62109375
10.0,0.1,1,A,8,320,0.6015625,0.59765625
10.0,0.3,1,A,8,320,0.67578125,0.9296875
10.0,0.5,1,A,8,320,0.6484375,0.96875
10.0,1.6836856603622437,1,B,8,320,0.7109375,0.61328125
10.0,0.1,2,A,8,320,0.640625,0.546875
10.0,0.3,2,A,8,320,0.7421875,0.94921875
10.0,0.5,2,A,8,320,0.67578125,0.98828125
10.0,1.746342420578003,2,B,8,320,0.74609375,0.62890625
10.0,0.1,3,A,8,320,0.66796875,0.609375
10.0,0.3,3,A,8,320,0.8046875,0.9375
10.0,0.5,3,A,8,320,0.76953125,1.0
10.0,1.7522121667861938,3,B,8,320,0.71875,0.60546875
10.0,0.1,4,A,8,320,0.578125,0.5859375
10.0,0.3,4,A,8,320,0.67578125,0.94140625
10.0,0.5,4,A,8,320,0.61328125,0.984375
10.0,1.7758994102478027,4,B,8,320,0.71875,0.6328125
20.0,0.1,0,A,8,640,0.5859375,0.58203125
20.0,0.3,0,A,8,640,0.671875,0.921875
20.0,0.5,0,A,8,640,0.57421875,0.984375
20.0,1.705057144165039,0,B,8,640,0.7265625,0.625
20.0,0.1,1,A,8,640,0.63671875,0.54296875
20.0,0.3,1,A,8,640,0.796875,0.91796875
20.0,0.5,1,A,8,640,0.75,0.98828125
20.0,1.7096275091171265,1,B,8,640,0.69140625,0.62890625
20.0,0.1,2,A,8,640,0.7421875,0.55078125
20.0,0.3,2,A,8,640,0.80859375,0.85546875
20.0,0.5,2,A,8,640,0.7421875,0.9609375
20.0,1.742757797241211,2,B,8,640,0.82421875,0.6328125
20.0,0.1,3,A,8,640,0.69921875,0.63671875
20.0,0.3,3,A,8,640,0.7890625,0.921875
20.0,0.5,3,A,8,640,0.74609375,0.94140625
